genres,app_name,release_date,price,id,developer
Action,TAROTICA VOO DOO,2017.0,10.99,603280,TPM.CO SOFT WORKS
Casual,Chronicles of Vinland,2017.0,9.99,753110,Wonderbox Games
Action,Orbitality,2017.0,9.99,753100,Wonderbox Games
Education,Medicalholodeck Personal Version,,29.99,769350,
Action,Atomic Adam: Episode 1,2017.0,1.99,764280,Mad Unicorn Games
Simulation,Golf Masters,,0,374970,
Adventure,Mirt. Tales of the Cold Land. Chapter 2,2017.0,0.99,758550,Emanon Studios
Action,Advent Rising,2005.0,9.99,3800,GlyphX Games
Indie,DEFCON,2006.0,9.99,1520,Introversion Software
Action,The Ship: Single Player,2006.0,9.99,2420,Outerlight Ltd.
Indie,Garry's Mod,2006.0,9.99,4000,Facepunch Studios
Racing,RACE - The WTCC Game,2006.0,39.99,4230,SimBin
Casual,Zen of Sudoku,2006.0,Free,4900,Unknown Worlds Entertainment
Casual,Gumboy - Crazy Adventures™,2006.0,4.99,2520,"CINEMAX, s.r.o."
Strategy,Ghost Master®,2003.0,4.99,6200,Sick Puppies
Strategy,Vegas: Make It Big™,2006.0,4.99,6210,Deepred
Adventure,Dreamfall: The Longest Journey,2006.0,19.99,6300,Funcom
Racing,FlatOut 2™,2006.0,9.99,2990,Bugbear Entertainment
Racing,FlatOut,2005.0,7.49,6220,Bugbear Entertainment
Action,Lost Planet™: Extreme Condition,2007.0,14.99,6510,"CAPCOM Co., Ltd."
Strategy,CivCity: Rome,2006.0,9.99,3980,"FireFly Studios,Firaxis Games"
RPG,Arx Fatalis,2002.0,4.99,1700,Arkane Studios
Action,The Longest Journey,2000.0,9.99,6310,Funcom
Strategy,Civilization IV®: Warlords,2006.0,4.99,3990,Firaxis Games
Strategy,Railroad Tycoon 3,2003.0,9.99,7610,PopTop
Strategy,Sid Meier's Railroads!,2006.0,9.99,7600,"Firaxis Games,Feral Interactive (Mac)"
,,,19.99,,
Strategy,Railroad Tycoon II Platinum,1998.0,4.99,7620,PopTop
Casual,RIP - Trilogy™,2007.0,4.99,2540,Elephant Games
Strategy,X-COM: Terror From the Deep,1995.0,4.99,7650,"MicroProse Software, Inc"
Action,Tomb Raider: Anniversary,2007.0,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)"
Action,Devil May Cry® 3 Special Edition,2006.0,19.99,6550,"CAPCOM Co., Ltd."
Action,Sam & Max 101: Culture Shock,2006.0,19.99,8200,Telltale Games
Action,Final DOOM,1996.0,4.99,2290,id Software
Indie,Vigil: Blood Bitterness™,2007.0,0,2570,Freegamer
Action,Sam & Max 102: Situation: Comedy,2006.0,19.99,8210,Telltale Games
Action,Ultimate Doom,1995.0,4.99,2280,id Software
Action,Master Levels for Doom II,1995.0,14.99,9160,id Software
Action,DOOM II,1994.0,4.99,2300,id Software
Action,Wolfenstein 3D,1994.0,4.99,2270,id Software
Action,Return to Castle Wolfenstein,2001.0,4.99,9010,Gray Matter Studios
Action,QUAKE Mission Pack 1: Scourge of Armagon,1997.0,2.99,9040,Ritual Entertainment
Action,Spear of Destiny,1993.0,2.99,9000,id Software
Action,BloodRayne,2003.0,9.99,3810,Terminal Reality
Action,QUAKE Mission Pack 2: Dissolution of Eternity,2007.0,2.99,9030,Rogue Entertainment
Action,QUAKE,2007.0,4.99,2310,id Software
Strategy,Genesis Rising,2007.0,4.99,3230,Metamorf
Strategy,"Warhammer® 40,000: Dawn of War® – Winter Assault",2006.0,12.99,9310,Relic Entertainment
Action,BioShock™,2007.0,19.99,7670,"2K Boston,2K Australia"
Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006.0,12.99,4570,Relic Entertainment
Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006.0,12.99,4580,Relic Entertainment
Strategy,Rome: Total War™ - Collection,2004.0,9.99,4760,The Creative Assembly
Strategy,Rome: Total War™ - Alexander,2006.0,4.99,4770,The Creative Assembly
Casual,Mystery Case Files: Madame Fate®,2007.0,6.99,50970,Big Fish Games
Action,Grand Theft Auto,1998.0,0,12170,Rockstar North
Action,Grand Theft Auto 2,1999.0,0,12180,Rockstar North
Action,Manhunt,2004.0,9.99,12130,Rockstar North
Racing,Midnight Club 2,2003.0,9.99,12160,Rockstar San Diego
Action,Max Payne 2: The Fall of Max Payne,2003.0,9.99,12150,Remedy Entertainment
Action,Tomb Raider: Legend,2006.0,6.99,7000,Crystal Dynamics
Action,Max Payne,2001.0,9.99,12140,Remedy Entertainment
Strategy,Command & Conquer: Red Alert 3,2008.0,19.99,17480,EA Los Angeles
Casual,PuzzleQuest: Challenge of the Warlords,2007.0,9.99,12500,Infinite Interactive
RPG,Culpa Innata,2007.0,9.99,12310,Momentum Digital Media Technologies
Strategy,Prison Tycoon 3™: Lockdown,2007.0,9.99,12510,"Gamebryo,Virtual Playground"
Action,Hunting Unlimited™ 2008,2007.0,9.99,12530,SCS Software
Racing,18 Wheels of Steel: American Long Haul,2007.0,9.99,12520,SCS Software
Action,Conflict: Denied Ops,2008.0,5.99,8100,Pivotal Games
Action,ARMA: Combat Operations,2007.0,7.99,2780,Bohemia Interactive
Simulation,Tycoon City: New York,2006.0,9.99,9730,Retroism
Action,Desperados 2: Cooper's Revenge,2006.0,9.99,9710,Spellbound
Action,Death to Spies,2007.0,4.99,9800,Haggard Games
Action,Act of War: High Treason,2006.0,2.99,9760,Eugen Systems
Simulation,RollerCoaster Tycoon® 3: Platinum,2006.0,19.99,2700,"Frontier,Aspyr (Mac)"
Action,Act of War: Direct Action,2005.0,2.99,2710,Eugen Systems
Action,Unreal 2: The Awakening,2003.0,14.99,13200,"Epic Games, Inc."
Action,Unreal Gold,1998.0,9.99,13250,"Epic Games, Inc."
Casual,Ninja Reflex: Steamworks Edition,2008.0,4.99,13000,Sanzaru Games
Action,Tom Clancy's Splinter Cell®,2003.0,9.99,13560,Ubisoft
Action,Far Cry®,2004.0,9.99,13520,Crytek Studios
Action,Unreal Tournament: Game of the Year Edition,2000.0,9.99,13240,"Epic Games, Inc."
Action,Tom Clancy's Rainbow Six® Vegas,2006.0,9.99,13540,Ubisoft Montreal
Simulation,Silent Hunter® III,2005.0,9.99,15210,Ubisoft
Casual,Virtual Villagers - The Secret City,2008.0,9.99,16180,Last Day of Work
Casual,Mystery P.I.™ - The Vegas Heist,2008.0,4.99,3520,SpinTop Games
Casual,Luxor,2008.0,9.99,15970,MumboJumbo
Casual,Reaxxion,2008.0,9.99,15950,MumboJumbo
Casual,Little Farm,2008.0,9.99,15960,MumboJumbo
Casual,7 Wonders II,2008.0,9.99,15900,MumboJumbo
Casual,Luxor Amun Rising,2005.0,9.99,15910,MumboJumbo
Casual,Luxor 3,2007.0,9.99,15930,MumboJumbo
Simulation,Petz® Horsez® 2,2007.0,9.99,15160,Ubisoft
Casual,Luxor 2,2005.0,9.99,15920,MumboJumbo
Action,Rayman Raving Rabbids™,2007.0,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier"
Simulation,Silent Hunter®: Wolves of the Pacific,2007.0,9.99,15200,Ubisoft Romania
Simulation,IL-2 Sturmovik: 1946,2006.0,9.99,15320,1C: Maddox Games
Simulation,Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008.0,9.99,15240,Ubisoft Romania
Adventure,Bone: Out From Boneville,2005.0,9.99,8310,Telltale Games
Racing,Midnight Outlaw: 6 Hours to SunUp,2005.0,9.99,12600,"Merscom,Babylon"
Adventure,Bone: The Great Cow Race,2006.0,9.99,8320,Telltale Games
Racing,Sprint Cars Road to Knoxville,2008.0,9.99,12590,BigAnt Studios
Casual,Dr. Daisy Pet Vet,2008.0,9.99,12580,Zemnott
Simulation,Ride! Carnival Tycoon,2007.0,9.99,12560,Gabriel Entertainment
Casual,Hot Dish,2008.0,9.99,12570,Zemnott
Casual,Mahjongg Investigations: Under Suspicion,2007.0,9.99,12540,Zemnott
Adventure,Dracula Origin,2008.0,9.99,11050,Frogwares
Sports,Beijing 2008™ - The Official Video Game of the Olympic Games,2008.0,0,10520,Eurocom
Adventure,Sherlock Holmes - Nemesis,2008.0,9.99,11040,Frogwares
Adventure,Eternity's Child,2008.0,4.99,19500,"Luc Bernard,SilverSphereStudios"
Simulation,Pacific Storm Allies,2007.0,7.99,11260,Lesta Studio
Action,Tank Universal,2008.0,4.99,19200,Dialogue Design
Racing,FlatOut: Ultimate Carnage,2008.0,19.99,12360,Bugbear Entertainment
Adventure,Oddworld: Abe's Exoddus®,1998.0,2.99,15710,Oddworld Inhabitants
Adventure,Oddworld: Abe's Oddysee®,1997.0,2.99,15700,Oddworld Inhabitants
Racing,GTR Evolution Expansion Pack for RACE 07,2008.0,7.99,8660,SimBin
Strategy,X-COM: Enforcer,2001.0,4.99,7770,"MicroProse Software, Inc"
Strategy,X-COM: Apocalypse,1997.0,4.99,7660,"MicroProse Software, Inc"
Strategy,X-COM: UFO Defense,1993.0,4.99,7760,"MicroProse Software, Inc"
Action,S.T.A.L.K.E.R.: Clear Sky,2008.0,9.99,20510,GSC Game World
Action,Crysis Warhead®,2008.0,19.99,17330,Crytek
Action,Crysis,2007.0,19.99,17300,Crytek
Strategy,X-COM: Interceptor,1998.0,4.99,7730,"MicroProse Software, Inc"
Action,The Witcher: Enhanced Edition Director's Cut,2008.0,9.99,20900,CD PROJEKT RED
Indie,Multiwinia,2008.0,9.99,1530,Introversion Software
Racing,STCC - The Game 1 - Expansion Pack for RACE 07,2008.0,2.99,8690,SimBin
Strategy,Children of the Nile: Alexandria,2008.0,2.49,17120,"Tilted Mill Entertainment, Inc."
Strategy,Sid Meier's Civilization IV: Colonization,2008.0,19.99,16810,Firaxis Games
Action,Tom Clancy's Rainbow Six® 3 Gold,2003.0,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal"
Action,LEGO Batman,2008.0,19.99,21000,Traveller's Tales
Simulation,City Life 2008,2008.0,9.99,4460,Monte Cristo
RPG,Hinterland,2008.0,9.99,17140,"Tilted Mill Entertainment, Inc."
Action,Brothers in Arms: Hell's Highway™,2008.0,9.99,15390,Gearbox Software
Indie,Gravitron 2,2008.0,4.99,21300,Dark Castle Software
Racing,Xpand Rally Xtreme,2006.0,4.99,3050,Techland
Strategy,Heroes of Might & Magic V: Hammers of Fate,2006.0,9.99,15380,Nival
Action,Brothers in Arms: Earned in Blood™,2005.0,9.99,19800,Gearbox Software
Strategy,Heroes of Might & Magic V: Tribes of the East,2007.0,9.99,15370,Nival
Strategy,The Settlers®: Rise Of An Empire Gold Edition,2008.0,19.99,19930,Blue Byte
Casual,Brain Spa,2007.0,9.99,15350,Ubisoft
Action,The Sum of All Fears,2002.0,9.99,19810,Red Storm Entertainment
Casual,Peggle™ Nights,2008.0,4.99,3540,"PopCap Games, Inc."
Indie,World of Goo,2008.0,9.99,22000,2D BOY
Action,X3: Terran Conflict,2008.0,15.99,2820,Egosoft
Action,Mare Nostrum,2008.0,Free,1230,Sandstorm Productions
Casual,Spectraball,2008.0,4.99,18300,Shorebound Studios
Indie,Galactic Bowling,2008.0,19.99,20200,Perpetual FX Creative
Action,Bully: Scholarship Edition,2008.0,14.99,12200,Rockstar New England
Action,Far Cry® 2: Fortune's Edition,2008.0,9.99,19900,Ubisoft Montreal
Action,Space Trader: Merchant Marine,2008.0,4.99,11240,Meridian4
Simulation,PRR Wagon Pack 01,2009.0,4.99,256522,RailSimulator.com
Simulation,"Class 421 London South East ""Jaffa Cake""",2009.0,4.99,275144,RailSimulator.com
Simulation,ATSF Wagon Pack 01,2009.0,4.99,256521,RailSimulator.com
Simulation,GP20 Union Pacific Add-on Livery,2009.0,4.99,222569,Reppo
Simulation,UK Van Wagon Pack,2009.0,4.99,256535,RailSimulator.com
Simulation,CSX SD70MAC Add-on Livery,2009.0,4.99,256611,Dovetail Games
Simulation,CSX ES44AC Add-on Livery,2009.0,4.99,256576,Dovetail Games
Action,Saints Row 2,2009.0,9.99,9480,Volition
Action,Dead Space,2008.0,19.99,17470,EA Redwood Shores
RPG,Rise of the Argonauts,2008.0,9.99,12770,Liquid Entertainment
Action,Mirror's Edge™,2009.0,19.99,17410,DICE
Indie,Defense Grid: The Awakening,2008.0,9.99,18500,Hidden Path Entertainment
Action,F.E.A.R. 2: Project Origin,2009.0,14.99,16450,Monolith
Strategy,Harvest: Massive Encounter,2008.0,7.99,15400,Oxeye Game Studio
Indie,Mayhem Intergalactic,2007.0,9.99,18600,Inventive Dingo
Action,Larva Mortus,2009.0,4.99,11340,Meridian4
Strategy,Knights of Honor,2005.0,9.99,25830,Black Sea Studios Ltd
Action,Ceville,2009.0,5.99,23460,Realmforge Studios
Strategy,Empire: Total War™ - Special Forces Units & Bonus Content,2009.0,2.99,10600,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
Action,Watchmen: The End is Nigh,2009.0,4.99,21010,Deadline Games
Action,Penumbra Overture,2007.0,9.99,22180,Frictional Games
Action,Unreal Tournament 3 Black,2007.0,19.99,13210,"Epic Games, Inc."
RPG,Drakensang,2009.0,9.99,12640,Radon Labs
Casual,Age of Booty™,2009.0,0,21600,Certain Affinity™
Indie,The Graveyard,2008.0,4.99,27020,Tale of Tales
Racing,Burnout Paradise: The Ultimate Box,2009.0,19.99,24740,Criterion Games
Action,Zombie Master,2009.0,0,90047,Zombie Master Team
Action,The Maw,2009.0,9.99,26000,Twisted Pixel Games
Action,The Maw: River Redirect,2009.0,1.25,26006,Twisted Pixel Games
Action,The Maw: Brute Force,2009.0,1.25,26005,Twisted Pixel Games
Casual,Obulis,2009.0,4.99,11330,IonFX
Indie,Space Giraffe,2009.0,9.99,27800,Llamasoft LTD
Simulation,Codename: Panzers - Cold War,2009.0,14.99,9850,"InnoGlow,Stormregion,THQ Nordic"
Casual,Escape Rosecliff Island,2009.0,4.99,3600,SpinTop Games
RPG,Guild Wars Nightfall,2006.0,19.99,29580,ArenaNet®
RPG,Guild Wars,2005.0,19.99,29540,ArenaNet®
RPG,Guild Wars Factions,2006.0,19.99,29560,ArenaNet®
Massively Multiplayer,Guild Wars Trilogy,2008.0,29.99,29570,ArenaNet®
Casual,Puzzle Kingdoms,2009.0,14.99,23700,Infinite Interactive
Casual,Samantha Swift and the Golden Touch,2009.0,9.99,16060,MumboJumbo
RPG,Two Worlds Epic Edition,2009.0,9.99,1930,Reality Pump Studios
Strategy,Helldorado,2009.0,9.99,18470,Spellbound
Action,X-Blades,2009.0,9.99,7510,Gaijin Entertainment
Action,Zeno Clash,2009.0,9.99,22200,ACE Team
Indie,The Maw: Speeder Lane,2009.0,1.25,26007,Twisted Pixel Games
RPG,King's Bounty: The Legend,2008.0,6.99,25900,1C Company
Casual,Virtual Families,2009.0,9.99,16200,Last Day of Work
Racing,Death Track®: Resurrection,2009.0,2.99,7840,Sky Fallen
RPG,Freedom Force vs. the Third Reich,2005.0,4.99,8890,Irrational Games
RPG,Freedom Force,2002.0,4.99,8880,Irrational Games
Indie,Light of Altair,2009.0,14.99,34500,SaintXi
Action,Darkest Hour: Europe '44-'45,2009.0,Free,1280,Darklight Games
Action,Prototype™,2009.0,19.99,10150,Radical Entertainment
Adventure,Blueberry Garden,,4.99,29160,Erik Svedäng
Strategy,Port Royale 2,2004.0,4.99,12470,Ascaron Entertainment ltd.
Horror,Call of Cthulhu®: Dark Corners of the Earth,2006.0,4.99,22340,Headfirst Productions
RPG,The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007.0,14.99,22330,Bethesda Game Studios
RPG,The Elder Scrolls III: Morrowind® Game of the Year Edition,2002.0,14.99,22320,Bethesda Game Studios
Open World,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,2009.0,19.99,900883,Bethesda Game Studios®
Adventure,Ankh 2: Heart of Osiris,2007.0,4.99,12440,Deck 13
Simulation,Armored Fist 3,1999.0,9.99,32710,NovaLogic
Simulation,MiG-29 Fulcrum,1998.0,9.99,32740,NovaLogic
Strategy,BC Kings,2008.0,4.99,12460,Mascot Entertainment
Action,Call of Juarez®: Bound in Blood,2009.0,9.99,21980,Techland
Adventure,Nancy Drew®: Legend of the Crystal Skull,2007.0,6.99,31860,HeR Interactive
Adventure,Nancy Drew®: The Creature of Kapu Cave,2006.0,6.99,31900,HeR Interactive
Adventure,Nancy Drew®: The Phantom of Venice,2008.0,6.99,31920,HeR Interactive
Adventure,Nancy Drew®: The White Wolf of Icicle Creek,2007.0,6.99,31930,HeR Interactive
Casual,BRAINPIPE: A Plunge to Unhumanity,2008.0,Free,35800,Digital Eel
Simulation,Hunting Unlimited 2010,2009.0,9.99,12690,"ValuSoft, Retroism"
Adventure,Tales of Monkey Island Complete Pack,2009.0,19.99,31170,Telltale Games
Action,Street Fighter® IV,2009.0,19.99,21660,Capcom
Action,Thrillville®: Off the Rails™,2007.0,9.99,6080,Frontier
Adventure,Indiana Jones® and the Fate of Atlantis™,1992.0,5.99,6010,LucasArts
Action,Armed and Dangerous®,2003.0,5.99,6090,Planet Moon Studios
Action,"Star Wars: Battlefront 2 (Classic, 2005)",2005.0,9.99,6060,Pandemic Studios
Adventure,Indiana Jones® and the Last Crusade™,1989.0,5.99,32310,LucasArts
Action,LEGO® Indiana Jones™: The Original Adventures,2008.0,19.99,32330,Traveller's Tales
Adventure,The Secret of Monkey Island: Special Edition,2009.0,9.99,32360,LucasArts
Strategy,Warfare,2008.0,12.99,35300,GFI Russia
Action,Clutch,2009.0,9.99,35310,Targem Games
Adventure,Nancy Drew®: Ransom of the Seven Ships,2009.0,6.99,31980,HeR Interactive
Adventure,Nancy Drew®: Ransom of the Seven Ships Demo,2009.0,0,31990,Her Interactive
Sports,3D Ultra™ Minigolf Adventures,2006.0,9.99,10140,Wanako Games
Adventure,King's Quest™ Collection,2006.0,19.99,10100,Sierra
Action,TimeShift™,2007.0,19.99,10130,Saber Interactive
Adventure,Space Quest™ Collection,2006.0,19.99,10110,Sierra
Action,Killing Floor Outbreak Character Pack,2009.0,7.99,1256,Tripwire Interactive
Action,Aces of the Galaxy™,2008.0,9.99,10120,Artech Studios
Simulation,Tropico Reloaded,2009.0,6.99,33520,"PopTop Software,BreakAway Games,Frog City Software"
Casual,Mystery P.I. - Lost in Los Angeles,2009.0,4.99,3610,SpinTop Games
Action,Bionic Commando: Rearmed,2008.0,9.99,21680,Capcom
Action,Bionic Commando,2009.0,9.99,21670,Capcom
Action,Watchmen: The End is Nigh Part 2,2009.0,4.99,21030,Deadline Games
Action,Foreign Legion: Buckets of Blood,2009.0,4.99,36000,Sakari Indie
Adventure,STAR WARS™ - Knights of the Old Republic™,2003.0,9.99,32370,"BioWare,Aspyr (Mac)"
Indie,Osmos,2009.0,9.99,29180,Hemisphere Games
RPG,Fallout 2: A Post Nuclear Role Playing Game,1998.0,9.99,38410,Black Isle Studios
Strategy,Fallout Tactics: Brotherhood of Steel,2001.0,9.99,38420,14° East
Action,Kingpin — Life of Crime,1999.0,9.99,38430,Xatrix Entertainment
Strategy,Sacrifice,2000.0,9.99,38440,Shiny Entertainment
Action,Mini Ninjas Demo,2009.0,0,35050,IO Interactive
Adventure,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009.0,19.99,31180,Telltale Games
Casual,Jewel Quest Pack,2009.0,19.99,37960,iWin
Casual,Mahjong Quest Collection,2009.0,9.99,38000,iWin
Adventure,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009.0,4.99,37400,Size Five Games
Action,Tom Clancy's Splinter Cell Chaos Theory®,2005.0,9.99,13570,Ubisoft Montreal
Action,Crash Time 2,2009.0,9.99,11390,Meridian4
Strategy,XIII Century – Gold Edition,2009.0,4.99,34420,Unicorn Games Studio
Simulation,World of Zoo,2009.0,14.99,43100,Blue Fang
Simulation,18 Wheels of Steel: Extreme Trucker,2009.0,9.99,33730,"ValuSoft, Retroism"
Action,Mini Ninjas,2009.0,9.99,35000,IO Interactive
Casual,Freeze Tag Fun Pack #2,2009.0,19.99,39392,"Freeze Tag Inc.,iQ212"
Casual,Freeze Tag Fun Pack #1,1999.0,19.99,39391,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment"
Adventure,Windosill,2009.0,2.99,37600,"Vectorpark, Inc."
Simulation,Train Simulator: Colton & Northern Route Add-On,2009.0,24.99,24029,All Aboard
Adventure,Midnight Mysteries,2009.0,9.99,32140,MumboJumbo
Adventure,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009.0,19.99,31190,Telltale Games
Action,Joint Operations: Combined Arms Gold,2009.0,19.99,32770,NovaLogic
Simulation,Train Simulator: US Loco & Asset Pack,2009.0,17.99,208306,Dovetail Games
Simulation,DinerTown Tycoon,2009.0,9.99,37300,PlayFirst
Simulation,Train Simulator: European Loco & Asset Pack,2009.0,19.99,208300,Dovetail Games
RPG,Risen,2009.0,9.99,40300,Piranha Bytes
Casual,Flora's Fruit Farm,2009.0,3.99,35070,Honeyslug
Strategy,Empire: Total War™ - The Warpath Campaign,2009.0,9.99,10606,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
Adventure,Machinarium,2009.0,9.99,40700,Amanita Design
Action,Medal of Honor: Airborne,2007.0,9.99,24840,EA Los Angeles
Racing,Need for Speed: Shift,2009.0,19.99,24870,Slightly Mad Studios
RPG,Torchlight,2009.0,14.99,41500,Runic Games
Strategy,Command & Conquer: Red Alert 3 - Uprising,2009.0,19.99,24800,EA Los Angeles
Strategy,The Stronghold Collection,2009.0,19.99,901735,FireFly Studios
Strategy,East India Company: Privateer,2009.0,4.99,42800,Nitro Games
Action,Painkiller: Resurrection,2009.0,9.99,39560,Homegrown Games
RPG,SpellForce 2 - Anniversary Edition,2009.0,14.99,39550,"Phenomic,THQ Nordic"
Adventure,Secret Files: Tunguska,2009.0,9.99,40330,Animation Arts
Strategy,Rush for Berlin Gold,2009.0,4.99,40320,Stormregion
Adventure,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009.0,19.99,31200,Telltale Games
Strategy,Men of War: Red Tide,2009.0,4.99,3130,1C Company
Action,Hammerfight,2009.0,4.99,41100,Konstantin Koshutin
Action,SpellForce - Platinum Edition,2009.0,9.99,39540,Phenomic
Strategy,Massive Assault: Phantom Renaissance,2005.0,9.99,34640,Wargaming.net
Strategy,Massive Assault,2003.0,9.99,34630,Wargaming.net
Hidden Object,Nancy Drew® Dossier: Resorting to Danger!,2009.0,6.99,42200,HeR Interactive
Action,Serious Sam HD: The First Encounter,2009.0,14.99,41000,Croteam
Adventure,Secret Files 2: Puritas Cordis,2009.0,9.99,40340,Animation Arts
RPG,Dragon Age: Origins,2009.0,19.99,17450,BioWare
Action,Aztaka,2009.0,4.99,37100,Citeremis Inc.
Indie,Magnetis,2009.0,1.99,37500,Yullaby
Strategy,For The Glory: A Europa Universalis Game,2009.0,9.99,42810,Crystal Empire Games
Action,Call of Duty®: Modern Warfare® 2,2009.0,19.99,10180,"Infinity Ward,Aspyr (Mac)"
Adventure,LEGO® Star Wars™ - The Complete Saga,2009.0,19.99,32440,"Traveller's Tales,Feral Interactive (Mac)"
RPG,Overlord™,2007.0,4.99,11450,"Triumph Studios,Virtual Programming"
RPG,Overlord™: Raising Hell,2008.0,9.99,12710,"Triumph Studios,Virtual Programming"
Strategy,Command & Conquer 3: Tiberium Wars,2007.0,14.99,24790,EA Los Angeles
Indie,Yumsters 2: Around the World,2008.0,4.99,29120,KranX Productions
Strategy,Command & Conquer 3: Kane's Wrath,2009.0,19.99,24810,EA Los Angeles
Indie,Gratuitous Space Battles,2009.0,14.99,41800,Positech Games
Simulation,Wings of Prey,2009.0,9.99,45300,Gaijin Entertainment
Action,The Bard's Tale,2005.0,9.99,41900,inXile Entertainment
Action,Defence Alliance 2,2009.0,Free,35420,Defence Alliance Team
Action,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2009.0,19.99,32430,"LucasArts,Aspyr Studios"
,Europa Universalis III: Heir to the Throne,2009.0,9.99,25806,Paradox Interactive
RPG,Fallout 3: Game of the Year Edition,2009.0,19.99,22370,Bethesda Game Studios
Strategy,Gratuitous Space Battles: The Tribe,2009.0,5.99,41802,Positech Games
Simulation,Build-A-Lot,2007.0,9.99,38080,Hip Soft
Simulation,Build-A-Lot 2: Town of the Year,2008.0,9.99,38090,Hip Soft
Simulation,Build-A-Lot 3: Passport to Europe,2009.0,9.99,38100,Hip Soft
Casual,Coconut Queen,2009.0,9.99,38070,iWin
Casual,Roogoo,2009.0,1.99,38210,Spidermonk Entertainment
Action,Devil May Cry 4,2008.0,19.99,45700,Capcom
